centre,par,sc,dom,ref,d,t,s,n,v
rksl,r1000hpa,rmse,tropics,ob,--,--,84,64,0.106188372093
rksl,r1000hpa,rmse,tropics,ob,--,--,96,64,0.107276162791
rksl,r1000hpa,rmse,tropics,ob,--,--,108,64,0.108623837209
rksl,r1000hpa,rmse,tropics,ob,--,--,120,64,0.108869186047
rksl,r1000hpa,rmse,shem,ob,--,--,12,22,0.116759302326
rksl,r1000hpa,rmse,shem,ob,--,--,24,22,0.11973372093
rksl,r1000hpa,rmse,shem,ob,--,--,36,22,0.122331395349
rksl,r1000hpa,rmse,shem,ob,--,--,48,22,0.124580813953
rksl,r1000hpa,rmse,shem,ob,--,--,60,22,0.128080813953
rksl,r1000hpa,rmse,shem,ob,--,--,72,22,0.131320348837
rksl,r1000hpa,rmse,shem,ob,--,--,84,22,0.13470755814
rksl,r1000hpa,rmse,shem,ob,--,--,96,22,0.136123255814
rksl,r1000hpa,rmse,shem,ob,--,--,108,22,0.141356395349
rksl,r1000hpa,rmse,shem,ob,--,--,120,22,0.14249127907
rksl,r1000hpa,sd,nhem,ob,--,--,12,182,0.126708139535
rksl,r1000hpa,sd,nhem,ob,--,--,24,182,0.129770348837
rksl,r1000hpa,sd,nhem,ob,--,--,36,182,0.132833139535
rksl,r1000hpa,sd,nhem,ob,--,--,48,182,0.135370348837
rksl,r1000hpa,sd,nhem,ob,--,--,60,182,0.138697093023
rksl,r1000hpa,sd,nhem,ob,--,--,72,182,0.141712790698
rksl,r1000hpa,sd,nhem,ob,--,--,84,182,0.144515697674
rksl,r1000hpa,sd,nhem,ob,--,--,96,182,0.147491860465
rksl,r1000hpa,sd,nhem,ob,--,--,108,182,0.15165755814
rksl,r1000hpa,sd,nhem,ob,--,--,120,182,0.15505872093
rksl,r1000hpa,sd,tropics,ob,--,--,12,64,0.0910656976744
rksl,r1000hpa,sd,tropics,ob,--,--,24,64,0.0927703488372
rksl,r1000hpa,sd,tropics,ob,--,--,36,64,0.0942976744186
rksl,r1000hpa,sd,tropics,ob,--,--,48,64,0.0944389534884
rksl,r1000hpa,sd,tropics,ob,--,--,60,64,0.0961046511628
rksl,r1000hpa,sd,tropics,ob,--,--,72,64,0.0951959302326
rksl,r1000hpa,sd,tropics,ob,--,--,84,64,0.0955924418605
rksl,r1000hpa,sd,tropics,ob,--,--,96,64,0.0968941860465
rksl,r1000hpa,sd,tropics,ob,--,--,108,64,0.097798255814
rksl,r1000hpa,sd,tropics,ob,--,--,120,64,0.0979418604651
rksl,r1000hpa,sd,shem,ob,--,--,12,22,0.113656395349
rksl,r1000hpa,sd,shem,ob,--,--,24,22,0.116201744186
rksl,r1000hpa,sd,shem,ob,--,--,36,22,0.118374418605
rksl,r1000hpa,sd,shem,ob,--,--,48,22,0.120405232558
rksl,r1000hpa,sd,shem,ob,--,--,60,22,0.123460465116
rksl,r1000hpa,sd,shem,ob,--,--,72,22,0.127036046512
rksl,r1000hpa,sd,shem,ob,--,--,84,22,0.130004651163
rksl,r1000hpa,sd,shem,ob,--,--,96,22,0.131625581395
rksl,r1000hpa,sd,shem,ob,--,--,108,22,0.136698255814
rksl,r1000hpa,sd,shem,ob,--,--,120,22,0.137537209302
rksl,r925hpa,me,nhem,ob,--,--,12,323,0.0278639534884
rksl,r925hpa,me,nhem,ob,--,--,24,323,0.0282738372093
rksl,r925hpa,me,nhem,ob,--,--,36,323,0.0283709302326
rksl,r925hpa,me,nhem,ob,--,--,48,323,0.0286976744186
rksl,r925hpa,me,nhem,ob,--,--,60,323,0.0284290697674
rksl,r925hpa,me,nhem,ob,--,--,72,323,0.0286819767442
rksl,r925hpa,me,nhem,ob,--,--,84,323,0.0285755813953
rksl,r925hpa,me,nhem,ob,--,--,96,323,0.0285761627907
rksl,r925hpa,me,nhem,ob,--,--,108,323,0.0295744186047
rksl,r925hpa,me,nhem,ob,--,--,120,323,0.0306860465116
rksl,r925hpa,me,tropics,ob,--,--,12,72,0.00894651162791
rksl,r925hpa,me,tropics,ob,--,--,24,72,0.00463895348837
rksl,r925hpa,me,tropics,ob,--,--,36,72,0.00342325581395
rksl,r925hpa,me,tropics,ob,--,--,48,72,0.00296279069767
rksl,r925hpa,me,tropics,ob,--,--,60,72,0.00200465116279
rksl,r925hpa,me,tropics,ob,--,--,72,72,0.00120581395349
rksl,r925hpa,me,tropics,ob,--,--,84,72,0.000749418604651
rksl,r925hpa,me,tropics,ob,--,--,96,72,0.00119011627907
rksl,r925hpa,me,tropics,ob,--,--,108,72,0.000477325581395
rksl,r925hpa,me,tropics,ob,--,--,120,72,-0.000526162790698
rksl,r925hpa,me,shem,ob,--,--,12,38,0.013
rksl,r925hpa,me,shem,ob,--,--,24,38,0.0102680232558
rksl,r925hpa,me,shem,ob,--,--,36,38,0.00734127906977
rksl,r925hpa,me,shem,ob,--,--,48,38,0.00626627906977
rksl,r925hpa,me,shem,ob,--,--,60,38,0.00420639534884
rksl,r925hpa,me,shem,ob,--,--,72,38,0.00416918604651
rksl,r925hpa,me,shem,ob,--,--,84,38,0.000404651162791
rksl,r925hpa,me,shem,ob,--,--,96,38,0.00191744186047
rksl,r925hpa,me,shem,ob,--,--,108,38,0.00358837209302
rksl,r925hpa,me,shem,ob,--,--,120,38,0.00113546511628
rksl,r925hpa,mae,nhem,ob,--,--,12,323,0.101627325581
rksl,r925hpa,mae,nhem,ob,--,--,24,323,0.105895930233
rksl,r925hpa,mae,nhem,ob,--,--,36,323,0.110266860465
rksl,r925hpa,mae,nhem,ob,--,--,48,323,0.114164534884
rksl,r925hpa,mae,nhem,ob,--,--,60,323,0.119053488372
rksl,r925hpa,mae,nhem,ob,--,--,72,323,0.123710465116
rksl,r925hpa,mae,nhem,ob,--,--,84,323,0.12813255814
rksl,r925hpa,mae,nhem,ob,--,--,96,323,0.133422674419
rksl,r925hpa,mae,nhem,ob,--,--,108,323,0.139013372093
rksl,r925hpa,mae,nhem,ob,--,--,120,323,0.145134883721
rksl,r925hpa,mae,tropics,ob,--,--,12,72,0.0894325581395
rksl,r925hpa,mae,tropics,ob,--,--,24,72,0.0939
rksl,r925hpa,mae,tropics,ob,--,--,36,72,0.0953569767442
rksl,r925hpa,mae,tropics,ob,--,--,48,72,0.0970470930233
rksl,r925hpa,mae,tropics,ob,--,--,60,72,0.0978343023256
rksl,r925hpa,mae,tropics,ob,--,--,72,72,0.0984348837209
rksl,r925hpa,mae,tropics,ob,--,--,84,72,0.0996476744186
rksl,r925hpa,mae,tropics,ob,--,--,96,72,0.100770930233
rksl,r925hpa,mae,tropics,ob,--,--,108,72,0.101744767442
rksl,r925hpa,mae,tropics,ob,--,--,120,72,0.102161046512
rksl,r925hpa,mae,shem,ob,--,--,12,38,0.108029651163
rksl,r925hpa,mae,shem,ob,--,--,24,38,0.112506395349
rksl,r925hpa,mae,shem,ob,--,--,36,38,0.116953488372
rksl,r925hpa,mae,shem,ob,--,--,48,38,0.119911627907
rksl,r925hpa,mae,shem,ob,--,--,60,38,0.124644186047
rksl,r925hpa,mae,shem,ob,--,--,72,38,0.127166860465
rksl,r925hpa,mae,shem,ob,--,--,84,38,0.132809883721
rksl,r925hpa,mae,shem,ob,--,--,96,38,0.137931976744
rksl,r925hpa,mae,shem,ob,--,--,108,38,0.145412209302
rksl,r925hpa,mae,shem,ob,--,--,120,38,0.152070930233
rksl,r925hpa,rmse,nhem,ob,--,--,12,323,0.136779651163
rksl,r925hpa,rmse,nhem,ob,--,--,24,323,0.142086627907
rksl,r925hpa,rmse,nhem,ob,--,--,36,323,0.148241860465
rksl,r925hpa,rmse,nhem,ob,--,--,48,323,0.153472093023
rksl,r925hpa,rmse,nhem,ob,--,--,60,323,0.159813372093
rksl,r925hpa,rmse,nhem,ob,--,--,72,323,0.166195930233
rksl,r925hpa,rmse,nhem,ob,--,--,84,323,0.172030813953
rksl,r925hpa,rmse,nhem,ob,--,--,96,323,0.17901744186
rksl,r925hpa,rmse,nhem,ob,--,--,108,323,0.186447674419
rksl,r925hpa,rmse,nhem,ob,--,--,120,323,0.194283139535
rksl,r925hpa,rmse,tropics,ob,--,--,12,72,0.116877325581
rksl,r925hpa,rmse,tropics,ob,--,--,24,72,0.122552325581
rksl,r925hpa,rmse,tropics,ob,--,--,36,72,0.125121511628
rksl,r925hpa,rmse,tropics,ob,--,--,48,72,0.127722093023
rksl,r925hpa,rmse,tropics,ob,--,--,60,72,0.12916744186
rksl,r925hpa,rmse,tropics,ob,--,--,72,72,0.130270348837
rksl,r925hpa,rmse,tropics,ob,--,--,84,72,0.13154244186
rksl,r925hpa,rmse,tropics,ob,--,--,96,72,0.13385872093
rksl,r925hpa,rmse,tropics,ob,--,--,108,72,0.134846511628
rksl,r925hpa,rmse,tropics,ob,--,--,120,72,0.135154069767
rksl,r925hpa,rmse,shem,ob,--,--,12,38,0.149493023256
rksl,r925hpa,rmse,shem,ob,--,--,24,38,0.155504651163
rksl,r925hpa,rmse,shem,ob,--,--,36,38,0.161034883721
rksl,r925hpa,rmse,shem,ob,--,--,48,38,0.165013953488
rksl,r925hpa,rmse,shem,ob,--,--,60,38,0.169976744186
rksl,r925hpa,rmse,shem,ob,--,--,72,38,0.172937790698
rksl,r925hpa,rmse,shem,ob,--,--,84,38,0.180069186047
rksl,r925hpa,rmse,shem,ob,--,--,96,38,0.187178488372
rksl,r925hpa,rmse,shem,ob,--,--,108,38,0.197385465116
rksl,r925hpa,rmse,shem,ob,--,--,120,38,0.205426744186
rksl,r925hpa,sd,nhem,ob,--,--,12,323,0.133564534884
rksl,r925hpa,sd,nhem,ob,--,--,24,323,0.138875
rksl,r925hpa,sd,nhem,ob,--,--,36,323,0.14509244186
rksl,r925hpa,sd,nhem,ob,--,--,48,323,0.150349418605
rksl,r925hpa,sd,nhem,ob,--,--,60,323,0.15680872093
rksl,r925hpa,sd,nhem,ob,--,--,72,323,0.163225581395
rksl,r925hpa,sd,nhem,ob,--,--,84,323,0.169105813953
rksl,r925hpa,sd,nhem,ob,--,--,96,323,0.176168023256
rksl,r925hpa,sd,nhem,ob,--,--,108,323,0.183397093023
rksl,r925hpa,sd,nhem,ob,--,--,120,323,0.191119767442
rksl,r925hpa,sd,tropics,ob,--,--,12,72,0.115677906977
rksl,r925hpa,sd,tropics,ob,--,--,24,72,0.121591860465
rksl,r925hpa,sd,tropics,ob,--,--,36,72,0.12420872093
rksl,r925hpa,sd,tropics,ob,--,--,48,72,0.12674127907
rksl,r925hpa,sd,tropics,ob,--,--,60,72,0.128266860465
rksl,r925hpa,sd,tropics,ob,--,--,72,72,0.129460465116
rksl,r925hpa,sd,tropics,ob,--,--,84,72,0.130681976744
rksl,r925hpa,sd,tropics,ob,--,--,96,72,0.132970930233
rksl,r925hpa,sd,tropics,ob,--,--,108,72,0.133886627907
rksl,r925hpa,sd,tropics,ob,--,--,120,72,0.134194767442
rksl,r925hpa,sd,shem,ob,--,--,12,38,0.146462790698
rksl,r925hpa,sd,shem,ob,--,--,24,38,0.152480813953
rksl,r925hpa,sd,shem,ob,--,--,36,38,0.157976162791
rksl,r925hpa,sd,shem,ob,--,--,48,38,0.162001744186
rksl,r925hpa,sd,shem,ob,--,--,60,38,0.166372674419
rksl,r925hpa,sd,shem,ob,--,--,72,38,0.169529651163
rksl,r925hpa,sd,shem,ob,--,--,84,38,0.176901162791
rksl,r925hpa,sd,shem,ob,--,--,96,38,0.184018023256
rksl,r925hpa,sd,shem,ob,--,--,108,38,0.194148837209
rksl,r925hpa,sd,shem,ob,--,--,120,38,0.201850581395
rksl,r850hpa,me,nhem,ob,--,--,12,360,0.00468023255814
rksl,r850hpa,me,nhem,ob,--,--,24,360,0.00368081395349
rksl,r850hpa,me,nhem,ob,--,--,36,360,0.00346046511628
rksl,r850hpa,me,nhem,ob,--,--,48,360,0.00354011627907
rksl,r850hpa,me,nhem,ob,--,--,60,360,0.00321860465116
rksl,r850hpa,me,nhem,ob,--,--,72,360,0.00258604651163
rksl,r850hpa,me,nhem,ob,--,--,84,360,0.00315290697674
rksl,r850hpa,me,nhem,ob,--,--,96,360,0.00338430232558
rksl,r850hpa,me,nhem,ob,--,--,108,360,0.00458953488372
rksl,r850hpa,me,nhem,ob,--,--,120,360,0.00440174418605
rksl,r850hpa,me,tropics,ob,--,--,12,75,-0.0277854651163
rksl,r850hpa,me,tropics,ob,--,--,24,75,-0.0370325581395
rksl,r850hpa,me,tropics,ob,--,--,36,75,-0.0414279069767
rksl,r850hpa,me,tropics,ob,--,--,48,75,-0.0444110465116
rksl,r850hpa,me,tropics,ob,--,--,60,75,-0.045776744186
rksl,r850hpa,me,tropics,ob,--,--,72,75,-0.0476203488372
rksl,r850hpa,me,tropics,ob,--,--,84,75,-0.0494959302326
rksl,r850hpa,me,tropics,ob,--,--,96,75,-0.0506860465116
rksl,r850hpa,me,tropics,ob,--,--,108,75,-0.0525802325581
rksl,r850hpa,me,tropics,ob,--,--,120,75,-0.0551011627907
rksl,r850hpa,me,shem,ob,--,--,12,41,-0.00608895348837
rksl,r850hpa,me,shem,ob,--,--,24,41,-0.0114191860465
rksl,r850hpa,me,shem,ob,--,--,36,41,-0.0159354651163
rksl,r850hpa,me,shem,ob,--,--,48,41,-0.0174691860465
rksl,r850hpa,me,shem,ob,--,--,60,41,-0.0202593023256
rksl,r850hpa,me,shem,ob,--,--,72,41,-0.0200563953488
rksl,r850hpa,me,shem,ob,--,--,84,41,-0.0199040697674
rksl,r850hpa,me,shem,ob,--,--,96,41,-0.0205563953488
rksl,r850hpa,me,shem,ob,--,--,108,41,-0.0236139534884
rksl,r850hpa,me,shem,ob,--,--,120,41,-0.0245651162791
rksl,r850hpa,mae,nhem,ob,--,--,12,360,0.113249418605
rksl,r850hpa,mae,nhem,ob,--,--,24,360,0.119115697674
rksl,r850hpa,mae,nhem,ob,--,--,36,360,0.125711046512
rksl,r850hpa,mae,nhem,ob,--,--,48,360,0.132127906977
rksl,r850hpa,mae,nhem,ob,--,--,60,360,0.139613953488
rksl,r850hpa,mae,nhem,ob,--,--,72,360,0.146619767442
rksl,r850hpa,mae,nhem,ob,--,--,84,360,0.155409883721
rksl,r850hpa,mae,nhem,ob,--,--,96,360,0.162851744186
rksl,r850hpa,mae,nhem,ob,--,--,108,360,0.17155
rksl,r850hpa,mae,nhem,ob,--,--,120,360,0.180130813953
rksl,r850hpa,mae,tropics,ob,--,--,12,75,0.0998593023256
rksl,r850hpa,mae,tropics,ob,--,--,24,75,0.10759244186
rksl,r850hpa,mae,tropics,ob,--,--,36,75,0.113383139535
rksl,r850hpa,mae,tropics,ob,--,--,48,75,0.118175581395
rksl,r850hpa,mae,tropics,ob,--,--,60,75,0.120383139535
rksl,r850hpa,mae,tropics,ob,--,--,72,75,0.123588953488
rksl,r850hpa,mae,tropics,ob,--,--,84,75,0.127204651163
rksl,r850hpa,mae,tropics,ob,--,--,96,75,0.129522674419
rksl,r850hpa,mae,tropics,ob,--,--,108,75,0.131768604651
rksl,r850hpa,mae,tropics,ob,--,--,120,75,0.13481627907
rksl,r850hpa,mae,shem,ob,--,--,12,41,0.123429069767
rksl,r850hpa,mae,shem,ob,--,--,24,41,0.128798255814
rksl,r850hpa,mae,shem,ob,--,--,36,41,0.135266860465
rksl,r850hpa,mae,shem,ob,--,--,48,41,0.142152906977
rksl,r850hpa,mae,shem,ob,--,--,60,41,0.14895
rksl,r850hpa,mae,shem,ob,--,--,72,41,0.156765116279
rksl,r850hpa,mae,shem,ob,--,--,84,41,0.162940116279
rksl,r850hpa,mae,shem,ob,--,--,96,41,0.169688372093
rksl,r850hpa,mae,shem,ob,--,--,108,41,0.179536627907
rksl,r850hpa,mae,shem,ob,--,--,120,41,0.18859244186
rksl,r850hpa,rmse,nhem,ob,--,--,12,360,0.156120348837
rksl,r850hpa,rmse,nhem,ob,--,--,24,360,0.164989534884
rksl,r850hpa,rmse,nhem,ob,--,--,36,360,0.174451744186
rksl,r850hpa,rmse,nhem,ob,--,--,48,360,0.183915116279
rksl,r850hpa,rmse,nhem,ob,--,--,60,360,0.194269186047
rksl,r850hpa,rmse,nhem,ob,--,--,72,360,0.204284883721
rksl,r850hpa,rmse,nhem,ob,--,--,84,360,0.215581976744
rksl,r850hpa,rmse,nhem,ob,--,--,96,360,0.225746511628
rksl,r850hpa,rmse,nhem,ob,--,--,108,360,0.237183139535
rksl,r850hpa,rmse,nhem,ob,--,--,120,360,0.247786046512
rksl,r850hpa,rmse,tropics,ob,--,--,12,75,0.129185465116
rksl,r850hpa,rmse,tropics,ob,--,--,24,75,0.140034883721
rksl,r850hpa,rmse,tropics,ob,--,--,36,75,0.148470348837
