centre,par,sc,dom,ref,d,t,s,n,v
egrr,z1000hpa,mae,tropics,ob,--,--,18,287,11.024031916376307
egrr,z1000hpa,mae,tropics,ob,--,--,24,287,10.717079024390243
egrr,z1000hpa,mae,tropics,ob,--,--,30,287,11.416993170731706
egrr,z1000hpa,mae,tropics,ob,--,--,36,287,11.425016480836238
egrr,z1000hpa,mae,tropics,ob,--,--,42,287,11.444198675958187
egrr,z1000hpa,mae,tropics,ob,--,--,48,287,11.915541080139374
egrr,z1000hpa,mae,tropics,ob,--,--,54,118,18.142764406779662
egrr,z1000hpa,mae,tropics,ob,--,--,60,169,7.881610355029586
egrr,z1000hpa,mae,tropics,ob,--,--,72,169,8.18015130177515
egrr,z1000hpa,mae,tropics,ob,--,--,84,169,8.498321715976331
egrr,z1000hpa,mae,tropics,ob,--,--,96,169,8.858495147928993
egrr,z1000hpa,mae,tropics,ob,--,--,108,169,9.103845384615386
egrr,z1000hpa,mae,tropics,ob,--,--,120,169,9.253628284023668
egrr,z1000hpa,mae,tropics,ob,--,--,132,169,9.581519940828404
egrr,z1000hpa,mae,tropics,ob,--,--,144,169,9.802344852071005
egrr,z1000hpa,mae,shem,ob,--,--,0,206,4.877293954368932
egrr,z1000hpa,mae,shem,ob,--,--,6,206,5.993569271844661
egrr,z1000hpa,mae,shem,ob,--,--,12,206,5.917202844660193
egrr,z1000hpa,mae,shem,ob,--,--,18,206,6.610004687378641
egrr,z1000hpa,mae,shem,ob,--,--,24,206,6.755495189320388
egrr,z1000hpa,mae,shem,ob,--,--,30,206,7.497265263106796
egrr,z1000hpa,mae,shem,ob,--,--,36,206,7.590290004854369
egrr,z1000hpa,mae,shem,ob,--,--,42,206,8.204891569417477
egrr,z1000hpa,mae,shem,ob,--,--,48,206,8.36423595145631
egrr,z1000hpa,mae,shem,ob,--,--,54,37,9.831476386486488
egrr,z1000hpa,mae,shem,ob,--,--,60,169,9.06142201183432
egrr,z1000hpa,mae,shem,ob,--,--,72,169,10.108429467455622
egrr,z1000hpa,mae,shem,ob,--,--,84,169,11.327463609467456
egrr,z1000hpa,mae,shem,ob,--,--,96,169,12.477830059171596
egrr,z1000hpa,mae,shem,ob,--,--,108,169,14.321726508875742
egrr,z1000hpa,mae,shem,ob,--,--,120,169,15.938913491124259
egrr,z1000hpa,mae,shem,ob,--,--,132,169,18.102479644970416
egrr,z1000hpa,mae,shem,ob,--,--,144,169,20.404044911242604
egrr,z1000hpa,rmse,nhem,ob,--,--,0,337,7.749777177813107
egrr,z1000hpa,rmse,nhem,ob,--,--,6,337,8.150420115129412
egrr,z1000hpa,rmse,nhem,ob,--,--,12,337,8.514087626345633
egrr,z1000hpa,rmse,nhem,ob,--,--,18,337,8.913921048583138
egrr,z1000hpa,rmse,nhem,ob,--,--,24,337,9.28037997179478
egrr,z1000hpa,rmse,nhem,ob,--,--,30,337,9.82181785048465
egrr,z1000hpa,rmse,nhem,ob,--,--,36,337,10.238718878864876
egrr,z1000hpa,rmse,nhem,ob,--,--,42,337,10.716717708940408
